Algorithm,Block Size,Key Size,Value
c-AES,128,128,5701632
c-AES,128,192,5881856
c-AES,128,256,5914624
c-PRESENT,64,80,5881856
c-PRESENT,64,128,5898240
c-CLEFIA,128,128,5881856
c-CLEFIA,128,192,5881856
c-CLEFIA,128,256,5898240
c-ASCON,-,128,180224,180224,180224,180224,11878400
c-Grain-128a,-,128,0,0,0,0,0,0,0,0,0,0,0,0,11698176,11698176,11698176,5849088,11698176,11763712,11698176,11698176,5849088
c-Grain-v1,-,80,0
c-MICKEY-80,-,80,0,0,5849088,5849088
c-Trivium-80,-,80,0,5881856,5849088
c-Sosemanuk-128,-,128,0,5881856
