Algorithm,Block Size,Key Size,Value
c-AES,128,128,0.79
c-AES,128,192,0.84
c-AES,128,256,0.9
c-PRESENT,64,80,10.93
c-PRESENT,64,128,10.94
c-CLEFIA,128,128,14.21
c-CLEFIA,128,192,21.27
c-CLEFIA,128,256,28.31
c-ASCON,-,128,0.18,0.17,0.18,0.17,0.17
c-Grain-128a,-,128,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.46,0.45,0.45,0.45,0.45,0.45,0.45,0.45
c-Grain-v1,-,80,9.93
c-MICKEY-80,-,80,1.77,1.76,1.76,1.76
c-Trivium-80,-,80,0.49,0.49,0.49
c-Sosemanuk-128,-,128,0.02,0.02
