Algorithm,Block Size,Key Size,Value
c-AES,128,128,5881856
c-AES,128,192,5898240
c-AES,128,256,5914624
c-PRESENT,64,80,5881856
c-PRESENT,64,128,5914624
c-CLEFIA,128,128,5881856
c-CLEFIA,128,192,5914624
c-CLEFIA,128,256,5668864
c-ASCON,-,128,278528,278528,278528,278528,6160384
c-Grain-128a,-,128,32768,0,32768,0,0,0,0,0,0,32768,0,0,5881856,5881856,5849088,5849088,5881856,5849088,5881856,5881856,5849088
c-Grain-v1,-,80,0
c-MICKEY-80,-,80,0,0,5849088,5849088
c-Trivium-80,-,80,0,5849088,5849088
c-Sosemanuk-128,-,128,16384,5865472
