Algorithm,Block Size,Key Size,Value
c-AES,128,128,0.77
c-AES,128,192,0.83
c-AES,128,256,0.88
c-PRESENT,64,80,11.06
c-PRESENT,64,128,11.08
c-CLEFIA,128,128,14.22
c-CLEFIA,128,192,21.25
c-CLEFIA,128,256,28.3
c-ASCON,-,128,0.18,0.18,0.18,0.18,0.18
c-Grain-128a,-,128,0.43,0.43,0.43,0.43,0.42,0.43,0.43,0.43,0.43,0.43,0.42,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.42
c-Grain-v1,-,80,9.85
c-MICKEY-80,-,80,1.76,1.82,1.77,1.76
c-Trivium-80,-,80,0.47,0.47,0.46
c-Sosemanuk-128,-,128,0.02,0.03
