Algorithm,Block Size,Key Size,Value
c-AES,128,128,61924.08,62249.78,62176.14,62110.33,61430.88,61468.57,61521.87,62162.65,62175.91,62131.04
c-AES,128,192,56056.96,55936.61,58140.42,57890.47,57862.35,57574.41,57502.83,57599.33,56349.05,57580.67
c-AES,128,256,54300.55,54046.69,54113.32,52955.03,54038.93,53907.53,54210.68,53711.91,52878.05,53705.9
py-AES,128,128,133498.29,134775.25,133652.73,133702.84,134151.35,133582.5,132975.45,133267.28,133127.92,133641.98
py-AES,128,192,111454.31,110674.79,110979.7,110801.09,111706.52,110734.86,110447.34,110737.57,111307.89,110682.67
py-AES,128,256,95291.0,95219.6,93948.48,94550.23,95139.66,95143.65,94645.48,92718.71,95232.31,93969.49
c-PRESENT,64,80,4284.1,4288.91,4281.9,4294.21,4282.31,4295.6,4286.75,4292.63,4275.16,4282.37
c-PRESENT,64,128,4291.91,4276.7,4289.85,4291.29,4293.11,4265.68,4281.08,4290.02,4293.69,4302.36
py-PRESENT,64,80,265.59,264.71,265.02,265.82,265.24,264.81,264.89,264.98,264.44,265.05
py-PRESENT,64,128,264.95,265.05,264.84,264.86,265.81,265.15,264.92,264.97,264.91,264.9
py-XTEA,64,128,4514.82,4504.48,4510.3,4516.63,4515.7,4560.14,4568.2,4529.31,4550.74,4502.75
c-CLEFIA,128,128,3346.1,3348.93,3351.72,3346.08,3350.21,3346.9,3346.19,3348.22,3343.3,3347.48
c-CLEFIA,128,192,2241.29,2236.05,2239.35,2236.91,2234.84,2241.61,2235.45,2237.31,2237.9,2236.96
c-CLEFIA,128,256,1680.25,1680.2,1683.4,1677.83,1677.13,1678.95,1676.92,1678.97,1677.7,1679.63
py-SIMON,32,64,2665.31,2672.6,2670.33,2671.33,2664.45,2673.36,2667.81,2670.54,2671.31,2675.43
py-SIMON,48,96,3635.37,3636.06,3626.69,3612.7,3620.55,3624.73,3632.57,3628.22,3638.34,3635.77
py-SIMON,64,96,3897.34,3896.89,3800.28,3863.41,3872.55,3868.84,3857.74,3892.78,3907.05,3861.27
py-SIMON,64,128,3678.57,3688.42,3716.67,3678.14,3685.5,3676.97,3687.03,3684.59,3687.32,3676.05
py-SIMON,96,96,5037.36,5042.63,5051.02,5035.29,5046.16,5038.51,5042.77,5048.92,5033.77,5055.49
py-SIMON,128,128,5009.59,4997.55,5011.9,5007.89,5000.3,5018.67,5007.87,5014.36,5000.26,5002.47
py-SIMON,128,192,4941.16,4946.3,4937.04,4943.25,4938.92,4941.34,4940.21,4937.58,4947.83,4937.32
py-SIMON,128,256,4712.54,4662.1,4653.13,4635.37,4659.45,4662.35,4650.7,4669.63,4649.27,4658.76
py-SPECK,32,64,530973.97,532783.87,530491.8,531983.67,531256.53,536212.73,530389.76,533655.92,530266.93,531250.38
py-SPECK,48,96,768230.78,758920.62,767794.26,767318.9,769744.96,768689.57,768506.42,771442.77,772844.47,763247.98
py-SPECK,64,96,858306.38,864781.45,865023.9,864591.78,862381.65,861541.25,855789.1,865529.57,860572.72,864685.85
py-SPECK,64,128,833798.16,832195.25,830825.72,831380.0,831546.79,829750.45,832285.72,831141.35,830256.04,830713.72
py-SPECK,96,96,1231267.8,1239135.98,1234937.86,1237004.85,1234115.86,1243458.15,1227095.41,1239248.99,1240799.89,1242157.68
py-SPECK,128,128,1472292.61,1473704.07,1463257.04,1475209.1,1472911.98,1467791.32,1455266.37,1470721.91,1468763.01,1473942.56
py-SPECK,128,192,1413815.78,1423114.87,1430369.79,1421408.36,1433416.91,1425649.56,1407210.39,1417832.85,1415988.45,1418109.14
py-SPECK,128,256,1383635.64,1393457.3,1388659.6,1384938.59,1401192.84,1396618.07,1387122.87,1395907.44,1389909.78,1389320.14
c-ASCON,-,128,34144308.87,34390128.85,34432633.93,33813021.01,34405711.92,33998829.67,34420092.58,34372706.09,34416435.17,34389159.0
c-Grain-128a,-,128,14053727.69,14124842.01,14106380.59,14001582.47,14093185.71,14013519.54,14026021.28,14034117.24,13838766.01,14118319.47
