Algorithm,Block Size,Key Size,Value
c-AES,128,128,39.22,46.03,48.9,52.38
c-AES,128,192,39.57,45.81,45.61,49.83
c-AES,128,256,39.58,39.93,46.38,48.3,53.8,55.01
c-PRESENT,64,80,48.18,60.98,61.14,60.23,65.3
c-PRESENT,64,128,48.11,58.32,60.78,60.56,63.63
c-CLEFIA,128,128,39.49,46.22,49.13,55.01,55.08
c-CLEFIA,128,192,39.52,47.26,45.88,51.16,55.54
c-CLEFIA,128,256,39.51,47.25,46.06,52.37,55.13
c-ASCON,-,128,49.16,77.25,99.71,121.93,144.16
c-Grain-128a,-,128,48.86,76.88,99.14,121.36,149.12
c-MICKEY-80,-,80,37.85,43.48,43.48,43.38,43.38
c-Trivium-80,-,80,32.18,43.34,49.04,54.55,60.16
c-Salsa-128,-,128,32.21,43.29,48.75,54.51,65.66
c-Sosemanuk-128,-,128,32.16
py-PRESENT,64,80,48.04,56.51,70.29,53.33,54.19
py-PRESENT,64,128,48.17,57.87,62.38,68.56,57.81
py-SIMON,32,64,63.87,70.34,81.1,80.99,80.95
py-SIMON,48,96,53.25,63.87,69.98,61.84,71.45
py-SIMON,64,96,47.92,53.79,58.95,64.96,56.65
py-SIMON,64,128,47.88,57.91,61.48,62.29,55.33
py-SIMON,96,96,42.61,48.61,51.8,55.03,49.74
py-SIMON,128,128,39.28,45.65,46.78,52.59,57.0
py-SIMON,128,192,39.3,45.69,46.63,52.83,48.91
py-SIMON,128,256,39.34,45.75,46.87,52.26,49.42
py-SPECK,32,64,63.7,79.5,70.41,83.54,70.46
py-SPECK,48,96,53.37,66.14,74.7,68.41,60.39
py-SPECK,64,96,47.77,53.9,55.6,63.54,63.44
py-SPECK,64,128,47.75,54.48,65.96,66.05,66.76
py-SPECK,96,96,42.75,48.78,47.99,55.77,59.89
py-SPECK,128,128,38.54,46.0,45.85,50.76,50.76
py-SPECK,128,192,38.58,46.02,45.98,50.97,50.97
py-SPECK,128,256,39.4,45.96,47.89,56.89,56.89
py-XTEA,64,128,47.97,57.92,61.46,56.45,68.31
