Algorithm,Block Size,Key Size,Value
c-AES,128,128,12.09,12.0,11.79,11.95
c-AES,128,192,13.62,8.79,8.51,8.36
c-AES,128,256,9.01,8.79,8.78,8.67,8.64,8.68
c-PRESENT,64,80,26.0,25.96,25.99,25.99,26.01
c-PRESENT,64,128,25.95,26.1,26.07,26.07,26.07
c-CLEFIA,128,128,21.2,20.16,20.1,20.06,20.1
c-CLEFIA,128,192,26.94,26.59,26.13,25.97,25.99
c-CLEFIA,128,256,32.71,32.62,32.59,32.49,32.58
c-ASCON,-,128,0.58,0.32,0.3,0.29,0.28
c-Grain-v1,-,80,10.92,10.85,10.82,10.84,10.82,10.91
c-Grain-128a,-,128,0.5,0.48,0.47,0.47,0.48
c-MICKEY-80,-,80,4.85,4.33,4.26,4.24,4.29
c-Trivium-80,-,80,2.74,2.13,2.02,1.99,1.98
c-Salsa-128,-,128,0.07,0.05,0.05,0.05,0.05
c-Sosemanuk-128,-,128,0.06,0.04,0.04,0.04,0.04,0.07,0.04,0.04,0.04,0.04
py-AES,128,128,279.65,277.39,274.59,270.8,267.12
py-AES,128,192,316.74,310.77,311.38,312.76,313.7
py-AES,128,256,369.09,367.35,373.31,370.26,373.89,364.42,375.83,366.3,363.85,360.7
py-PRESENT,64,80,870.93,875.35,866.94,875.21,867.64
py-PRESENT,64,128,837.0,832.55,850.77,859.87,845.86
py-XTEA,64,128,57.96,57.29,57.29,57.38,57.28
py-SIMON,32,64,95.48,92.22,93.05,92.05,91.1
py-SIMON,48,96,67.75,67.65,67.58,68.23,68.01
py-SIMON,64,96,64.84,65.34,65.78,65.54,64.85
py-SIMON,64,128,67.22,66.63,67.88,67.34,66.63
py-SIMON,96,96,49.61,49.43,49.02,49.01,48.38
py-SIMON,128,128,50.63,49.43,49.4,49.84,49.53
py-SIMON,128,192,50.95,51.01,51.06,50.73,50.64
py-SIMON,128,256,52.49,52.16,53.21,52.43,52.42
py-SPECK,32,64,57.59,55.95,55.59,55.71,55.67
py-SPECK,48,96,38.48,38.14,37.46,37.82,38.11
py-SPECK,64,96,35.59,35.66,35.01,35.56,35.69
py-SPECK,64,128,36.88,36.78,37.57,36.51,36.71
py-SPECK,96,96,24.14,23.63,23.94,23.74,23.96
py-SPECK,128,128,20.94,20.92,20.66,20.67,20.24
py-SPECK,128,192,21.49,21.41,21.12,20.99,21.03
py-SPECK,128,256,21.8,21.65,21.94,22.04,21.52
