Algorithm,Block Size,Key Size,Value
c-AES,128,128,29.25,40.49,40.58,40.55,36.55
c-AES,128,192,29.22,40.23
c-AES,128,256,28.87,40.23,39.99,38.16,38.17
c-Grain-128a,-,128,34.16,67.62,89.24,93.88,98.14,33.68,60.04
c-PRESENT,64,80,32.67,39.75,39.83,39.82,39.88
c-PRESENT,64,128,32.56,36.18,32.67
c-CLEFIA,128,128,28.66,38.99
c-CLEFIA,128,192,28.83,40.23
c-CLEFIA,128,256,28.67,36.59
c-MICKEY-80,-,80,33.77,44.94
c-Trivium-80,-,80,28.23,39.39
c-Salsa-128,-,128,28.19,39.35
py-XTEA,64,128,32.27,43.43
