Algorithm,Block Size,Key Size,Value
c-AES,128,128,19454,19454,19455,19599,19604,19600,19455,19455,19455
c-AES,128,192,19454,19454,19606,19601,19456
c-AES,128,256,20170,20460,20315,20462,20460
c-PRESENT,64,80,39926,40070,40378,40231,40074
c-PRESENT,64,128,40362,40506,40361,40653,40656
c-CLEFIA,128,128,25843,25843,25843,25844,25844
c-CLEFIA,128,192,28211,28357,28212,28211,28211
c-CLEFIA,128,256,31505,31505,31360,31506,31505
c-Grain-128a,-,128,145,145,145,145,145
c-MICKEY-80,-,80,1596,1596,1596,1596,1596
c-Trivium-80,-,80,1187,1187,1187,1187,1187
c-Salsa-128,-,128,0,0,0,0,0
c-Sosemanuk-128,-,128,0,0,0,0,0
py-AES,128,128,132924,128192,128336,128629,128341
py-AES,128,192,152155,152155,152160,151590,152168
py-AES,128,256,174355,174934,173925,174796,174935
py-PRESENT,64,80,281644,281645
