Algorithm,Block Size,Key Size,Value
c-AES,128,128,20.12,21.7,21.82,21.83,21.87,21.87,21.87,21.88,21.88
c-AES,128,192,20.31,21.78,21.83,21.87,21.89
c-AES,128,256,20.19,21.66,21.73,21.74,21.74
c-PRESENT,64,80,20.77,21.97,22.09,21.93,22.09
c-PRESENT,64,128,20.54,21.75,22.13,21.83,21.93
c-CLEFIA,128,128,20.1,21.64,21.74,21.74,21.73
c-CLEFIA,128,192,20.15,21.61,21.67,21.76,21.54
c-CLEFIA,128,256,20.1,21.56,21.63,21.64,21.71
c-Grain-128a,-,128,22.8,27.75,31.7,35.65,39.61
c-MICKEY-80,-,80,20.76,21.75,21.75,21.75,21.76
c-Trivium-80,-,80,19.82,21.8,22.79,23.78,24.77
c-Salsa-128,-,128,19.74,21.72,22.71,23.7,24.69
c-Sosemanuk-128,-,128,19.8,21.79,22.78,23.77,24.76
py-AES,128,128,20.27,21.66,21.7,21.7,21.7
py-AES,128,192,20.02,21.35,21.45,21.43,21.43
py-AES,128,256,20.01,21.42,21.48,21.47,21.32
py-PRESENT,64,80,20.5,21.74
