Algorithm,Block Size,Key Size,Value
c-AES,128,128,400.64,399.26,399.42,396.15,398.46,397.35,399.99,399.67,397.65
c-AES,128,192,403.22,401.83,402.62,401.51,401.36
c-AES,128,256,378.71,378.61,378.13,376.46,377.47
c-PRESENT,64,80,231.67,232.05,228.95,231.33,235.11
c-PRESENT,64,128,231.72,230.87,230.63,230.72,229.53
c-CLEFIA,128,128,161.32,160.77,160.97,160.74,160.98
c-CLEFIA,128,192,114.07,113.87,114.07,114.1,114.2
c-CLEFIA,128,256,88.64,88.85,89.08,88.64,88.6
c-Grain-128a,-,128,609198.98,607424.36,608265.62,611239.85,608060.19
c-MICKEY-80,-,80,88945.06,89148.37,88550.17,89001.43,89096.35
c-Trivium-80,-,80,111729.44,111649.27,111052.91,111686.15,111737.51
c-Salsa-128,-,128,6931524.12,6840132.11,6893930.7,6949329.89,6887727.69
c-Sosemanuk-128,-,128,11265700.8,11104933.43,11175305.22,11311696.84,11008639.33
py-AES,128,128,1297.14,1345.49,1343.59,1340.09,1343.54
py-AES,128,192,1089.24,1088.8,1089.72,1093.4,1089.26
py-AES,128,256,947.77,943.88,950.51,945.26,943.72
py-PRESENT,64,80,4.82,4.82
