Algorithm,Block Size,Key Size,Value
c-AES,128,128,20.64,20.71,20.7,20.87,20.75,20.81,20.67,20.69,20.79
c-AES,128,192,20.5,20.57,20.53,20.59,20.6
c-AES,128,256,21.83,21.84,21.86,21.96,21.9
c-PRESENT,64,80,35.69,35.63,36.11,35.74,35.16
c-PRESENT,64,128,35.68,35.81,35.85,35.83,36.02
c-CLEFIA,128,128,51.25,51.42,51.36,51.43,51.36
c-CLEFIA,128,192,72.48,72.61,72.48,72.45,72.39
c-CLEFIA,128,256,93.27,93.05,92.81,93.26,93.31
c-Grain-128a,-,128,1.7,1.7,1.7,1.69,1.7
c-MICKEY-80,-,80,11.62,11.59,11.67,11.61,11.6
c-Trivium-80,-,80,9.25,9.26,9.31,9.25,9.25
c-Salsa-128,-,128,0.15,0.15,0.15,0.15,0.15
c-Sosemanuk-128,-,128,0.09,0.09,0.09,0.09,0.09
py-AES,128,128,796.7,768.07,769.15,771.16,769.18
py-AES,128,192,948.76,949.14,948.34,945.15,948.74
py-AES,128,256,1090.37,1094.87,1087.23,1093.26,1095.06
py-PRESENT,64,80,1713.69,1714.36
