Algorithm,Block Size,Key Size,Value
c-AES,128,128,19309,19455,19455,19458,19600,19457,19455,19454,19455
c-AES,128,192,19456,19314,19455,19454,19310
c-AES,128,256,20015,20322,20315,20316,20316
c-PRESENT,64,80,39925,39929,39783,39925,39780
c-PRESENT,64,128,40071,40362,40217,40507,40508
c-CLEFIA,128,128,25843,25843,25698,25842,25843
c-CLEFIA,128,192,28213,28355,28211,28211,28212
c-CLEFIA,128,256,31508,31506,31215,31506,31505
c-Grain-128a,-,128,145,145,145,145,145
c-MICKEY-80,-,80,1596,1596,1596,1596,1596
c-Trivium-80,-,80,1055,1055,1055,1055,1055
c-Salsa-128,-,128,0,0,0,0,0
c-Sosemanuk-128,-,128,0,0,0,0,0
py-AES,128,128,113095,113097,113384,113383,113247
py-AES,128,192,136289,134993,135473,135286,135423
py-AES,128,256,157159,156715,156292,156143,156574
py-PRESENT,64,80,277136,277139
