Algorithm,Block Size,Key Size,Value
c-AES,128,128,19.06,21.57,21.82,21.83,21.87,21.87,21.87,21.88,21.88
c-AES,128,192,19.06,21.53,21.91,21.78,21.89
c-AES,128,256,18.95,21.41,21.8,21.68,21.73
c-PRESENT,64,80,19.6,21.87,21.93,21.93,21.93
c-PRESENT,64,128,19.47,21.64,21.93,21.82,21.79
c-CLEFIA,128,128,18.91,21.28,21.74,21.74,21.73
c-CLEFIA,128,192,18.91,21.37,21.67,21.66,21.53
c-CLEFIA,128,256,18.86,21.31,21.63,21.72,21.69
c-Grain-128a,-,128,19.83,25.77,29.72,33.68,37.63
c-MICKEY-80,-,80,19.77,21.75,21.75,21.75,21.76
c-Trivium-80,-,80,18.82,20.81,21.8,22.79,23.78
c-Salsa-128,-,128,18.75,20.73,21.72,22.71,23.7
c-Sosemanuk-128,-,128,18.82,20.8,21.79,22.78,23.77
py-AES,128,128,19.12,21.41,21.7,21.7,21.7
py-AES,128,192,18.73,21.14,21.41,21.44,21.65
py-AES,128,256,18.52,21.11,21.48,21.47,21.38
py-PRESENT,64,80,19.31,21.65
