Algorithm,Block Size,Key Size,Value
c-AES,128,128,418.19,417.17,414.5,417.24,414.59,417.3,414.9,416.41,417.47
c-AES,128,192,427.98,421.75,422.25,421.97,425.15
c-AES,128,256,399.97,399.85,393.25,397.15,396.44
c-PRESENT,64,80,233.65,233.21,233.76,233.11,234.09
c-PRESENT,64,128,231.52,230.73,231.48,229.22,229.58
c-CLEFIA,128,128,160.66,160.66,160.91,161.05,160.89
c-CLEFIA,128,192,114.15,114.0,114.0,114.07,113.88
c-CLEFIA,128,256,88.57,88.5,89.07,88.76,88.65
c-Grain-128a,-,128,613103.77,574497.74,613010.31,611882.94,610665.52
c-MICKEY-80,-,80,86373.35,86760.91,86917.61,86811.64,86749.09
c-Trivium-80,-,80,118004.94,117737.45,117870.64,117754.64,117834.95
c-Salsa-128,-,128,7376312.46,6950171.16,7018711.33,6778974.57,6897335.61
c-Sosemanuk-128,-,128,11594847.8,11444990.81,11590426.31,12259348.01,11558923.54
py-AES,128,128,1555.23,1551.83,1549.02,1550.98,1550.44
py-AES,128,192,1232.1,1245.18,1241.87,1242.4,1242.1
py-AES,128,256,1064.43,1066.45,1069.43,1071.42,1068.77
py-PRESENT,64,80,4.91,4.91
