Algorithm,Block Size,Key Size,Value
c-AES,128,128,19.77,19.82,19.95,19.81,19.94,19.81,19.93,19.85,19.8
c-AES,128,192,19.32,19.6,19.58,19.59,19.45
c-AES,128,256,20.67,20.68,21.02,20.82,20.85
c-PRESENT,64,80,35.38,35.45,35.37,35.47,35.32
c-PRESENT,64,128,35.71,35.83,35.72,36.07,36.01
c-CLEFIA,128,128,51.46,51.46,51.38,51.33,51.39
c-CLEFIA,128,192,72.43,72.52,72.52,72.47,72.6
c-CLEFIA,128,256,93.34,93.42,92.82,93.15,93.26
c-Grain-128a,-,128,1.69,1.8,1.69,1.69,1.69
c-MICKEY-80,-,80,11.96,11.91,11.89,11.9,11.91
c-Trivium-80,-,80,8.76,8.78,8.77,8.78,8.77
c-Salsa-128,-,128,0.14,0.15,0.15,0.15,0.15
c-Sosemanuk-128,-,128,0.09,0.09,0.09,0.08,0.09
py-AES,128,128,664.48,665.93,667.14,666.3,666.53
py-AES,128,192,838.74,829.93,832.14,831.79,831.99
py-AES,128,256,970.87,969.02,966.33,964.53,966.92
py-PRESENT,64,80,1683.66,1682.34
