Algorithm,Block Size,Key Size,Value
c-AES,128,128,2.22,1.49,1.38,1.38,1.31,1.35,1.36,1.31,1.33,1.31
c-AES,128,192,2.37,1.46,1.41,1.38,1.35,1.34,1.35,1.36,1.36,1.37
c-AES,128,256,1.58,1.4,1.41,1.37,1.39,1.37,1.36,1.39,1.38,1.39
c-PRESENT,64,80,4.54,4.62,4.57,4.78,4.61,4.63,4.55,4.62,4.55,4.59
c-PRESENT,64,128,4.59,4.59,4.53,4.6,4.63,4.56,4.59,4.6,4.58,4.69
c-CLEFIA,128,128,4.18,3.74,3.73,3.75,3.71,3.81,3.8,3.74,3.71,3.74
c-CLEFIA,128,192,5.64,5.28,5.22,5.18,5.22,5.24,5.2,5.21,5.22,5.29
c-CLEFIA,128,256,6.86,6.68,6.71,6.67,6.68,6.76,6.72,6.74,6.76,6.75
c-ASCON,-,128,0.27,0.23,0.16,0.07,0.06,0.05,0.09,0.06,0.06,0.1
c-Grain-128a,-,128,0.12,0.11,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.09
c-Grain-v1,-,80,1.98,2.0,1.91,1.94,1.9,1.93,1.91,1.93,1.9,1.93
c-MICKEY-80,-,80,0.94,0.82,0.76,0.75,0.72,0.72,0.78,0.74,0.73,0.72
c-Trivium-80,-,80,0.52,0.43,0.44,0.4,0.41,0.4,0.38,0.37,0.37,0.41
c-Salsa-128,-,128,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
c-Sosemanuk-128,-,128,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
py-AES,128,128,46.1,42.92,42.7,41.11,41.54,41.21,41.36,41.89,40.14,40.8
py-AES,128,192,51.45,50.04,48.35,48.08,48.23,48.89,48.71,49.11,47.36,48.38
py-AES,128,256,58.15,58.24,56.13,56.18,55.95,55.9,56.33,55.48,55.46,55.09
py-PRESENT,64,80,130.96,127.7,127.19,123.84,129.56,122.3,126.95,123.25,125.67,123.34
py-PRESENT,64,128,129.54,125.45,124.19,125.12,123.27,121.04,123.77,122.68,123.21,122.24
py-XTEA,64,128,10.5,10.1,9.63,9.55,9.57,9.47,9.59,9.57,9.59,9.48
py-SIMON,32,64,16.12,15.21,15.34,14.77,15.53,15.23,14.73,15.47,15.17,15.64
py-SIMON,48,96,11.61,12.21,11.29,10.64,10.82,10.84,10.95,11.11,10.97,11.11
py-SIMON,64,96,11.22,11.06,10.24,10.16,10.16,10.38,10.17,10.55,10.59,10.71
py-SIMON,64,128,11.13,11.4,10.87,10.31,10.62,10.77,10.47,10.73,10.68,10.7
py-SIMON,96,96,8.17,8.22,7.69,7.5,7.56,8.01,7.79,7.84,7.83,7.58
py-SIMON,128,128,7.91,7.97,7.74,7.48,7.53,7.8,7.78,7.85,7.7,7.57
py-SIMON,128,192,8.05,7.89,7.86,7.59,7.75,7.67,7.93,7.92,7.75,7.61
py-SIMON,128,256,8.34,8.15,8.37,8.44,8.36,8.47,7.85,8.64,8.44,8.28
py-SPECK,32,64,10.23,10.42,10.17,10.18,9.79,10.1,10.55,10.24,9.97,10.01
py-SPECK,48,96,7.07,7.07,6.93,6.84,6.71,7.11,6.87,6.75,6.9,6.97
py-SPECK,64,96,6.25,6.52,6.35,6.16,6.25,6.55,6.58,6.22,6.34,6.37
py-SPECK,64,128,6.42,6.65,6.5,6.65,6.62,6.47,6.65,6.44,6.45,6.43
py-SPECK,96,96,4.2,4.43,4.14,4.12,4.05,4.21,4.2,4.17,4.15,4.12
py-SPECK,128,128,3.82,3.87,3.9,3.83,3.71,3.69,3.79,3.81,3.76,3.75
py-SPECK,128,192,3.96,4.21,3.82,3.67,3.86,3.79,3.86,3.98,3.86,3.94
py-SPECK,128,256,4.11,4.03,3.92,3.84,3.84,4.04,4.04,3.98,3.91,3.96
